transcript_id,pdf_link,location_link,location_x,txt_link,key,video_id,generic_video_link,location_y
uk_0_04122007,,https://hansard.parliament.uk/html/commons/2007-12-04/CommonsChamber,CommonsChamber,https://hansard.parliament.uk/debates/GetDebateAsText/1ac5c52c-c253-40ca-921e-7cc93e0d4c84,04122007_Commons,uk_17_04122007,https://www.parliamentlive.tv/Event/Index/3731c5fa-ada0-45b5-af36-383d426ca6a5,House of Commons
uk_0_05122007,,https://hansard.parliament.uk/html/commons/2007-12-05/CommonsChamber,CommonsChamber,https://hansard.parliament.uk/debates/GetDebateAsText/e577b017-9898-49f6-bc8e-25454c50757a,05122007_Commons,uk_15_05122007,https://www.parliamentlive.tv/Event/Index/9bdf6af5-0bda-4460-9020-a2cddd8d5c71,House of Commons
uk_1_05122007,,https://hansard.parliament.uk/html/commons/2007-12-05/WestminsterHall,WestminsterHall,https://hansard.parliament.uk/debates/GetDebateAsText/0ae71ce0-c529-42df-b978-1d2bfb21f94b,05122007_Westminster,uk_14_05122007,https://www.parliamentlive.tv/Event/Index/5397ab35-4ad1-4cf5-aca7-b8f2d2ee6cbd,Westminster Hall
uk_1_05122007,,https://hansard.parliament.uk/html/commons/2007-12-05/WestminsterHall,WestminsterHall,https://hansard.parliament.uk/debates/GetDebateAsText/0ae71ce0-c529-42df-b978-1d2bfb21f94b,05122007_Westminster,uk_16_05122007,https://www.parliamentlive.tv/Event/Index/de667948-88ea-4211-8511-a83bb1ebd322,Westminster Hall
uk_0_06122007,,https://hansard.parliament.uk/html/commons/2007-12-06/CommonsChamber,CommonsChamber,https://hansard.parliament.uk/debates/GetDebateAsText/b7023c79-89fe-4fe3-8dd4-3874bf03fb72,06122007_Commons,uk_13_06122007,https://www.parliamentlive.tv/Event/Index/f4debb50-e07e-4592-afa9-d2dcb0428a2e,House of Commons
uk_1_06122007,,https://hansard.parliament.uk/html/commons/2007-12-06/WestminsterHall,WestminsterHall,https://hansard.parliament.uk/debates/GetDebateAsText/d113c96e-edc5-4a45-bef6-063a4d6ef4d6,06122007_Westminster,uk_12_06122007,https://www.parliamentlive.tv/Event/Index/f9903391-bee6-4d51-b9f7-666e75e12cae,Westminster Hall
uk_0_10122007,,https://hansard.parliament.uk/html/commons/2007-12-10/CommonsChamber,CommonsChamber,https://hansard.parliament.uk/debates/GetDebateAsText/f98ddaed-5770-45dc-b6cb-c1d957fefc9d,10122007_Commons,uk_11_10122007,https://www.parliamentlive.tv/Event/Index/f549e36f-da93-4123-96fc-f67c8e6d11a5,House of Commons
uk_0_11122007,,https://hansard.parliament.uk/html/commons/2007-12-11/CommonsChamber,CommonsChamber,https://hansard.parliament.uk/debates/GetDebateAsText/73383ec6-0612-4c51-93a3-721b1e624c5f,11122007_Commons,uk_9_11122007,https://www.parliamentlive.tv/Event/Index/e6cc8bf3-9c52-447d-8248-586594f31dff,House of Commons
uk_1_11122007,,https://hansard.parliament.uk/html/commons/2007-12-11/WestminsterHall,WestminsterHall,https://hansard.parliament.uk/debates/GetDebateAsText/8cdb20c9-9935-410a-8328-54a7d84cc282,11122007_Westminster,uk_10_11122007,https://www.parliamentlive.tv/Event/Index/ec092fbc-3df5-4631-80d5-01743bcf7744,Westminster Hall
uk_0_12122007,,https://hansard.parliament.uk/html/commons/2007-12-12/CommonsChamber,CommonsChamber,https://hansard.parliament.uk/debates/GetDebateAsText/65c83ac6-02bb-4083-a5b8-7fbdd9e0540c,12122007_Commons,uk_7_12122007,https://www.parliamentlive.tv/Event/Index/a1241dbd-8afd-420c-a711-e33642db076e,House of Commons
uk_1_12122007,,https://hansard.parliament.uk/html/commons/2007-12-12/WestminsterHall,WestminsterHall,https://hansard.parliament.uk/debates/GetDebateAsText/a9048014-9378-443e-9682-57860a380400,12122007_Westminster,uk_6_12122007,https://www.parliamentlive.tv/Event/Index/cfc38a1d-88ad-4628-bf5f-160421d32675,Westminster Hall
uk_1_12122007,,https://hansard.parliament.uk/html/commons/2007-12-12/WestminsterHall,WestminsterHall,https://hansard.parliament.uk/debates/GetDebateAsText/a9048014-9378-443e-9682-57860a380400,12122007_Westminster,uk_8_12122007,https://www.parliamentlive.tv/Event/Index/c6fb7617-9101-402d-a916-b1410f742360,Westminster Hall
uk_0_13122007,,https://hansard.parliament.uk/html/commons/2007-12-13/CommonsChamber,CommonsChamber,https://hansard.parliament.uk/debates/GetDebateAsText/ee2a12d3-8205-4f38-b38f-963b99f8e4e4,13122007_Commons,uk_5_13122007,https://www.parliamentlive.tv/Event/Index/e89fb490-4579-42f7-a630-d002038d4bec,House of Commons
