video_id,generic_video_link,location
uk_32_07012008,https://www.parliamentlive.tv/Event/Index/66841b5a-3cb9-4440-8101-85a95719c292,House of Commons
uk_0_29022008,https://www.parliamentlive.tv/Event/Index/c723b19e-02d0-4617-b990-4de304a54c13,House of Commons
uk_1_28022008,https://www.parliamentlive.tv/Event/Index/8e29a4b1-1826-48bd-a94c-2c499f3ff059,Westminster Hall
uk_2_28022008,https://www.parliamentlive.tv/Event/Index/cbd23fc3-16e8-46d1-8ae5-0a2cde730028,House of Commons
uk_3_27022008,https://www.parliamentlive.tv/Event/Index/2b51fb42-da0d-4ae2-90b7-777f1abc6980,Westminster Hall
uk_4_27022008,https://www.parliamentlive.tv/Event/Index/b7769dc1-de59-4a86-b66f-859bb912249b,House of Commons
uk_5_27022008,https://www.parliamentlive.tv/Event/Index/564cad6c-7ed5-4a4c-b40e-045fe55cce05,Westminster Hall
uk_6_26022008,https://www.parliamentlive.tv/Event/Index/fe4fdade-dfea-4dec-af5a-7d592e2be5b3,House of Commons
uk_7_26022008,https://www.parliamentlive.tv/Event/Index/a1828a90-87c9-499e-9b0b-bf5c83adfe4d,Westminster Hall
uk_8_25022008,https://www.parliamentlive.tv/Event/Index/800c3f4b-7727-485a-9a18-b14eb6769ac3,House of Commons
uk_9_22022008,https://www.parliamentlive.tv/Event/Index/997e064e-d482-4c42-9ee8-20c66a1a7104,House of Commons
uk_10_21022008,https://www.parliamentlive.tv/Event/Index/e2cfdbe5-31af-4c5b-9be1-e4a34f4e55fd,Westminster Hall
uk_11_21022008,https://www.parliamentlive.tv/Event/Index/c48ee6b0-cb03-48c9-90e3-ddbbf6db6847,House of Commons
uk_12_20022008,https://www.parliamentlive.tv/Event/Index/0bbd0a6d-0bac-497f-b8b9-abf764ef7ade,Westminster Hall
uk_13_20022008,https://www.parliamentlive.tv/Event/Index/054ddbe5-a6b3-4dcf-9452-601e728aac7c,House of Commons
uk_14_20022008,https://www.parliamentlive.tv/Event/Index/8145f6f3-326c-49df-a2b3-3bf9cc6de634,Westminster Hall
uk_15_19022008,https://www.parliamentlive.tv/Event/Index/76d91012-a53d-47c6-b665-a7fad96cfd23,House of Commons
uk_16_19022008,https://www.parliamentlive.tv/Event/Index/feb342ea-5ede-46ae-942d-dd772097dac0,Westminster Hall
uk_17_18022008,https://www.parliamentlive.tv/Event/Index/df44a440-3812-4110-9809-c29f60bcdf58,House of Commons
uk_18_07022008,https://www.parliamentlive.tv/Event/Index/d4383ed3-f5e9-4577-8f24-0162dab71ba6,Westminster Hall
uk_19_07022008,https://www.parliamentlive.tv/Event/Index/aae49790-6e94-4ecc-b454-4d4635b16ea9,House of Commons
uk_20_06022008,https://www.parliamentlive.tv/Event/Index/6f30c9fd-b69f-4c03-b1a8-2b10ec2dd8a1,Westminster Hall
uk_21_06022008,https://www.parliamentlive.tv/Event/Index/ccd54cb2-2d2a-4da2-9617-a9ca4b718b62,House of Commons
uk_22_06022008,https://www.parliamentlive.tv/Event/Index/5959e7c7-1bb6-4596-b04e-718c2b3158cb,Westminster Hall
uk_23_05022008,https://www.parliamentlive.tv/Event/Index/411feaa3-6cf5-481b-87cb-57d1b718e810,House of Commons
uk_24_05022008,https://www.parliamentlive.tv/Event/Index/06a9193f-1da4-41c7-93ab-ccc86e3b644a,Westminster Hall
uk_25_04022008,https://www.parliamentlive.tv/Event/Index/c3b2dc67-71df-472f-8526-7fb4b7428393,House of Commons
uk_26_01022008,https://www.parliamentlive.tv/Event/Index/0927dffe-865a-4a08-a640-a368a0a0da58,House of Commons
uk_0_31032008,https://www.parliamentlive.tv/Event/Index/c2ed34d0-ccd7-415f-9b42-a3a7330b6a92,House of Commons
uk_1_31032008,https://www.parliamentlive.tv/Event/Index/e667880c-95da-477b-b622-2227c9277238,House of Commons
uk_2_27032008,https://www.parliamentlive.tv/Event/Index/62eb1e9c-78fb-42c1-a6be-53deca2d1193,Westminster Hall
uk_3_27032008,https://www.parliamentlive.tv/Event/Index/5251ffca-cf43-47f1-b8a3-6512384fb4b2,House of Commons
uk_4_26032008,https://www.parliamentlive.tv/Event/Index/4d65ffa4-0c89-4ad0-a8eb-1ec795a18db2,Westminster Hall
uk_5_26032008,https://www.parliamentlive.tv/Event/Index/2d18b2f5-5520-4cfe-b497-9c90900a5078,House of Commons
uk_6_26032008,https://www.parliamentlive.tv/Event/Index/9e787ffb-492e-43f6-b20a-8f7643df3498,Westminster Hall
uk_7_25032008,https://www.parliamentlive.tv/Event/Index/0dffb14a-99cd-4ab2-8c44-068d8264c829,House of Commons
uk_8_25032008,https://www.parliamentlive.tv/Event/Index/3ce4d330-8032-497a-a670-f42caee082ee,Westminster Hall
uk_9_20032008,https://www.parliamentlive.tv/Event/Index/4a12bef9-cd71-4e08-8534-2e3266b8a49d,Westminster Hall
uk_10_20032008,https://www.parliamentlive.tv/Event/Index/c1898db2-80c9-4679-90d4-2e3c67e1626c,House of Commons
uk_11_19032008,https://www.parliamentlive.tv/Event/Index/30568705-6b4f-4b66-ae30-c9c05d40fe79,Westminster Hall
uk_12_19032008,https://www.parliamentlive.tv/Event/Index/a87907dc-ced5-482a-bca3-5cb15cf804ed,House of Commons
uk_13_19032008,https://www.parliamentlive.tv/Event/Index/b6e199ec-9cea-4f4f-a068-b0ea4dec5179,Westminster Hall
uk_14_18032008,https://www.parliamentlive.tv/Event/Index/06f63aee-f112-4eca-ae24-09feac561f1b,House of Commons
uk_15_18032008,https://www.parliamentlive.tv/Event/Index/c53f116a-1877-4c7f-a8a0-66680b098dca,Westminster Hall
uk_16_17032008,https://www.parliamentlive.tv/Event/Index/51568560-973a-4f94-94ca-c06e6c25d0c6,House of Commons
uk_17_14032008,https://www.parliamentlive.tv/Event/Index/3e3114e8-3f6f-4175-8757-5f0145c676c3,House of Commons
uk_18_13032008,https://www.parliamentlive.tv/Event/Index/5a8cda7f-7c68-414a-91c1-63e1b9222959,Westminster Hall
uk_19_13032008,https://www.parliamentlive.tv/Event/Index/52213290-bb21-4c15-bb0b-ec59f1e64433,House of Commons
uk_20_12032008,https://www.parliamentlive.tv/Event/Index/d2547849-9e32-4ba7-8025-b8a38d742e09,Westminster Hall
uk_21_12032008,https://www.parliamentlive.tv/Event/Index/857f53b7-86d5-4f66-93bc-051406fef158,House of Commons
uk_22_12032008,https://www.parliamentlive.tv/Event/Index/a353c941-b00d-409d-9c55-1f9a8bf31c23,Westminster Hall
uk_23_11032008,https://www.parliamentlive.tv/Event/Index/6752e7cd-3fe5-4e49-a848-82a3a53fa1b8,House of Commons
uk_24_11032008,https://www.parliamentlive.tv/Event/Index/e840c0f1-780e-4d19-9826-02eb4e59cf73,Westminster Hall
uk_25_10032008,https://www.parliamentlive.tv/Event/Index/2625a6ac-e54b-4094-bc08-290df3fd6f08,House of Commons
uk_26_07032008,https://www.parliamentlive.tv/Event/Index/7d41b93d-56e5-4d99-8ac3-9d9c14814876,House of Commons
uk_27_06032008,https://www.parliamentlive.tv/Event/Index/7727ee88-94e0-4c9b-a94b-faf9c1c5ef01,Westminster Hall
uk_28_06032008,https://www.parliamentlive.tv/Event/Index/ec329676-cfd9-4a78-9f0c-931c0a9ef42e,House of Commons
uk_29_05032008,https://www.parliamentlive.tv/Event/Index/b3b653bb-dee1-4406-a96f-9f529ad032cc,Westminster Hall
uk_30_05032008,https://www.parliamentlive.tv/Event/Index/ec56bf14-ed41-471e-85e4-d567a9a1d8c7,House of Commons
uk_31_05032008,https://www.parliamentlive.tv/Event/Index/95d9801d-d1e6-44ef-ac1d-7c695b0b376b,Westminster Hall
uk_32_04032008,https://www.parliamentlive.tv/Event/Index/8f230497-c653-4123-9ba2-bdaedd7b42a0,House of Commons
uk_33_04032008,https://www.parliamentlive.tv/Event/Index/c60d2d4c-805e-4e6f-be7e-46f3840a75e0,Westminster Hall
uk_34_03032008,https://www.parliamentlive.tv/Event/Index/c8481683-8f59-46ca-a851-0ce36344a3b2,House of Commons
uk_0_30042008,https://www.parliamentlive.tv/Event/Index/8f3d020e-bed0-4e42-9a2e-3cf2ecb926da,Westminster Hall
uk_1_30042008,https://www.parliamentlive.tv/Event/Index/b7babbc3-b0fa-4edf-9129-05c11f4e2c75,House of Commons
uk_2_30042008,https://www.parliamentlive.tv/Event/Index/4d5f8779-dcec-438b-bb89-0bee6318cfa8,Westminster Hall
uk_3_29042008,https://www.parliamentlive.tv/Event/Index/c3e215af-bbf9-43d1-a474-9bb88b55c06a,House of Commons
uk_4_29042008,https://www.parliamentlive.tv/Event/Index/1d6e1580-a6a3-4305-a040-8ba3f28cce0e,Westminster Hall
uk_5_28042008,https://www.parliamentlive.tv/Event/Index/6d6d2727-7b0d-4017-962d-99287256116a,House of Commons
uk_6_25042008,https://www.parliamentlive.tv/Event/Index/58b44cb9-4f07-4b94-b7e4-0105bdfe5f0e,House of Commons
uk_7_24042008,https://www.parliamentlive.tv/Event/Index/9c78454d-d992-4d1e-b09f-fb2081237578,Westminster Hall
uk_8_24042008,https://www.parliamentlive.tv/Event/Index/9a9fb68f-3d53-4993-8080-fd7c6ef20b3c,House of Commons
uk_9_23042008,https://www.parliamentlive.tv/Event/Index/346fd107-a5c2-46c1-8071-0ce3300ac9a2,Westminster Hall
uk_10_23042008,https://www.parliamentlive.tv/Event/Index/cc8439d4-c87c-4123-afe8-415cdac3290d,House of Commons
uk_11_23042008,https://www.parliamentlive.tv/Event/Index/a6c90833-5a5b-455a-8708-bc98e3e3571d,Westminster Hall
uk_12_22042008,https://www.parliamentlive.tv/Event/Index/a937a706-e043-4444-b130-de671ceb0649,House of Commons
uk_13_22042008,https://www.parliamentlive.tv/Event/Index/37843687-ca4a-40f0-abed-5d3257012099,Westminster Hall
uk_14_21042008,https://www.parliamentlive.tv/Event/Index/d27ef662-d5e5-416c-8ba6-79dd33a9f9a9,House of Commons
uk_15_21042008,https://www.parliamentlive.tv/Event/Index/dfa1617c-ee04-46db-a188-2a6bdad4f58b,House of Commons
uk_16_03042008,https://www.parliamentlive.tv/Event/Index/54a28f33-e2df-4424-b3e5-609d0e2e1d79,Westminster Hall
uk_17_03042008,https://www.parliamentlive.tv/Event/Index/b1573855-9dd4-44e6-8bdf-704c27ce41da,House of Commons
uk_18_02042008,https://www.parliamentlive.tv/Event/Index/e86e2602-3e02-4237-8840-fd289d5b0f26,Westminster Hall
uk_19_02042008,https://www.parliamentlive.tv/Event/Index/8ca48f2d-d829-40b7-b6dc-8c97890b24b4,House of Commons
uk_20_02042008,https://www.parliamentlive.tv/Event/Index/ee3c403d-504f-4393-9ec0-53ef8fe5fa8e,Westminster Hall
uk_21_01042008,https://www.parliamentlive.tv/Event/Index/9d857c76-2599-4ba4-8616-bb5f78cbc1a4,House of Commons
uk_22_01042008,https://www.parliamentlive.tv/Event/Index/ed760a8e-52cb-40db-bf33-8fb9be627f56,Westminster Hall
uk_0_22052008,https://www.parliamentlive.tv/Event/Index/e817c433-42f7-4ac7-adcd-94fea58e18cc,Westminster Hall
uk_1_22052008,https://www.parliamentlive.tv/Event/Index/63f1e813-b4d6-4265-a724-5fe4b6ebe624,House of Commons
uk_2_21052008,https://www.parliamentlive.tv/Event/Index/3d89e19d-6d28-4c40-85a2-eac9f8484373,Westminster Hall
uk_3_21052008,https://www.parliamentlive.tv/Event/Index/dfc67b5a-a984-47fb-b0f4-aab3f9bd8a1c,House of Commons
uk_4_21052008,https://www.parliamentlive.tv/Event/Index/e95bd8ad-2f8a-446e-85fd-51c9e012e54c,Westminster Hall
uk_5_20052008,https://www.parliamentlive.tv/Event/Index/72695775-51b2-46e1-a189-9e7818b3786a,House of Commons
uk_6_20052008,https://www.parliamentlive.tv/Event/Index/6856c82a-92ad-4440-9446-5fef1f032ada,Westminster Hall
uk_7_19052008,https://www.parliamentlive.tv/Event/Index/6cd76b3f-c1ce-4694-b434-833f7dad72da,House of Commons
uk_8_16052008,https://www.parliamentlive.tv/Event/Index/0e62720f-356f-4922-a9af-b7bfcac8fed5,House of Commons
uk_9_15052008,https://www.parliamentlive.tv/Event/Index/7865643f-7b20-43fd-a025-a3fb3b977240,Westminster Hall
uk_10_15052008,https://www.parliamentlive.tv/Event/Index/6dec8015-3126-4cd5-abcd-0d193f06d789,House of Commons
uk_11_14052008,https://www.parliamentlive.tv/Event/Index/8c8e69be-b1d8-4075-8a81-5227e662fba3,Westminster Hall
uk_12_14052008,https://www.parliamentlive.tv/Event/Index/0d29a0a4-b297-4cd9-aa72-0ffdfe08971d,House of Commons
uk_13_14052008,https://www.parliamentlive.tv/Event/Index/dec0ef4d-5dd0-44ce-8490-7313ecc6c70b,Westminster Hall
uk_14_13052008,https://www.parliamentlive.tv/Event/Index/b14feeaf-51b4-48cc-b7fe-31ef71462c37,House of Commons
uk_15_13052008,https://www.parliamentlive.tv/Event/Index/16ed06d2-d516-460a-818b-6364528b2853,Westminster Hall
uk_16_12052008,https://www.parliamentlive.tv/Event/Index/3ff80440-7905-43db-b93a-50e27ae6b707,House of Commons
uk_17_09052008,https://www.parliamentlive.tv/Event/Index/45cb9580-d584-4921-a9a0-c209104dee79,House of Commons
uk_18_08052008,https://www.parliamentlive.tv/Event/Index/c851ba91-c869-48d7-9aab-03cab048aa5b,Westminster Hall
uk_19_08052008,https://www.parliamentlive.tv/Event/Index/dae54176-7f33-41fd-b59a-f5eed48c072d,House of Commons
uk_20_07052008,https://www.parliamentlive.tv/Event/Index/a3e7dca2-d305-4aee-96a3-63ec92c3b61b,Westminster Hall
uk_21_07052008,https://www.parliamentlive.tv/Event/Index/8c4daea3-da53-4b03-b20f-745fec3b96d6,House of Commons
uk_22_07052008,https://www.parliamentlive.tv/Event/Index/59fe8905-4ee8-48fe-8e91-e2da8f32ab97,Westminster Hall
uk_23_06052008,https://www.parliamentlive.tv/Event/Index/91cf2151-fb5f-466c-be82-71b586286b99,House of Commons
uk_24_06052008,https://www.parliamentlive.tv/Event/Index/3351bdf7-1ba7-4941-91c3-ecf73b1fbe2e,Westminster Hall
uk_25_01052008,https://www.parliamentlive.tv/Event/Index/f358ec56-666e-4f2f-9b97-678def87948f,Westminster Hall
uk_26_01052008,https://www.parliamentlive.tv/Event/Index/811a934c-6858-46bb-8a73-140f377d8596,House of Commons
uk_0_30062008,https://www.parliamentlive.tv/Event/Index/7cc0101f-59c7-4dcf-b6d0-1780ecee88e6,House of Commons
uk_1_26062008,https://www.parliamentlive.tv/Event/Index/82b6e3fe-0e94-479b-8d10-e4f6face0b67,Westminster Hall
uk_2_26062008,https://www.parliamentlive.tv/Event/Index/d93bd7b4-5677-4b70-b5c2-6e309333b567,House of Commons
uk_3_25062008,https://www.parliamentlive.tv/Event/Index/be786d28-bb03-4f39-8ae7-cc002043dc53,Westminster Hall
uk_4_25062008,https://www.parliamentlive.tv/Event/Index/4c446e05-e52b-46b8-a754-38ecfa05655a,House of Commons
uk_5_25062008,https://www.parliamentlive.tv/Event/Index/5f938676-5690-4e52-abb0-da223fabc812,Westminster Hall
uk_6_24062008,https://www.parliamentlive.tv/Event/Index/0c40ee11-fc27-4b2e-8a7d-56b9f460c2a9,House of Commons
uk_7_24062008,https://www.parliamentlive.tv/Event/Index/34c6d765-5372-4bc4-9e58-399b455e1e28,Westminster Hall
uk_8_23062008,https://www.parliamentlive.tv/Event/Index/495d63ed-cc6e-41ec-80eb-f0e1819024a7,House of Commons
uk_9_20062008,https://www.parliamentlive.tv/Event/Index/350f8630-6dfa-4a9a-b0f7-59c4d826012f,House of Commons
uk_10_19062008,https://www.parliamentlive.tv/Event/Index/cd56d57b-a501-4dd8-85f6-030ccdf75698,Westminster Hall
uk_11_19062008,https://www.parliamentlive.tv/Event/Index/7e4c3355-059d-4f9b-afc6-5346ecadc476,House of Commons
uk_12_18062008,https://www.parliamentlive.tv/Event/Index/906c6126-e578-4e92-bd16-6cfe493402b8,Westminster Hall
uk_13_18062008,https://www.parliamentlive.tv/Event/Index/adac7280-522e-468b-a72a-80fdb18f4af5,House of Commons
uk_14_18062008,https://www.parliamentlive.tv/Event/Index/ed912360-4226-4448-ad73-b3465c25b447,Westminster Hall
uk_15_17062008,https://www.parliamentlive.tv/Event/Index/735ce2b3-78d3-4e1a-8412-621d484fdaa6,House of Commons
uk_16_17062008,https://www.parliamentlive.tv/Event/Index/3fa832bd-c7f0-44ab-8e1c-76b9a4066db5,Westminster Hall
uk_17_16062008,https://www.parliamentlive.tv/Event/Index/a6d6dc54-85db-4d77-b74f-5895e265d26a,House of Commons
uk_18_13062008,https://www.parliamentlive.tv/Event/Index/ca96889e-19a5-4e9c-bb61-98aa003816c7,House of Commons
uk_19_12062008,https://www.parliamentlive.tv/Event/Index/14c16670-0b5a-4cf8-bcbf-42ff975e838e,Westminster Hall
uk_20_12062008,https://www.parliamentlive.tv/Event/Index/2d474395-c8de-418a-9f3a-4855adcca78d,House of Commons
uk_21_11062008,https://www.parliamentlive.tv/Event/Index/75183b72-05b4-408d-b8cb-4eadd68ee689,Westminster Hall
uk_22_11062008,https://www.parliamentlive.tv/Event/Index/17ea58b3-bd74-4052-bef8-43cd06c8886a,House of Commons
uk_23_11062008,https://www.parliamentlive.tv/Event/Index/4e9821ba-80f3-44e1-9d63-140ce30b4e74,Westminster Hall
uk_24_10062008,https://www.parliamentlive.tv/Event/Index/a6de6361-66dc-478a-93ec-16478d54a259,House of Commons
uk_25_10062008,https://www.parliamentlive.tv/Event/Index/b4113900-6a66-4405-a1f7-34e46b002a2b,Westminster Hall
uk_26_09062008,https://www.parliamentlive.tv/Event/Index/84d6e052-79ec-41b0-827c-e8a5a0a7b4bc,House of Commons
uk_27_06062008,https://www.parliamentlive.tv/Event/Index/b013e6d7-1408-48b3-816e-060da0a37276,House of Commons
uk_28_05062008,https://www.parliamentlive.tv/Event/Index/044edfb2-8529-45e5-a210-3f310e7d9b64,Westminster Hall
uk_29_05062008,https://www.parliamentlive.tv/Event/Index/b95aca16-94b3-43d7-bd22-c52622e53707,House of Commons
uk_30_04062008,https://www.parliamentlive.tv/Event/Index/38ecdd56-b592-41c2-98cb-db425023780c,Westminster Hall
uk_31_04062008,https://www.parliamentlive.tv/Event/Index/9741b3b5-12a7-4abf-9dbb-98c4e3d3c87d,House of Commons
uk_32_04062008,https://www.parliamentlive.tv/Event/Index/aa737bec-7b68-4fe8-90ab-a7420a238d85,Westminster Hall
uk_33_03062008,https://www.parliamentlive.tv/Event/Index/fbcf933b-bb9f-41ad-9e3e-a0c10cfb6a61,House of Commons
uk_34_03062008,https://www.parliamentlive.tv/Event/Index/5622eb21-d118-47ad-af13-bff87b9ec32a,Westminster Hall
uk_35_02062008,https://www.parliamentlive.tv/Event/Index/940e5caa-d2d6-4cd9-8b22-7e1e3db93c87,House of Commons
uk_0_22072008,https://www.parliamentlive.tv/Event/Index/37995899-8d33-4dce-b1ab-3ea781c9b143,Westminster Hall
uk_1_22072008,https://www.parliamentlive.tv/Event/Index/c23d3272-adf9-4d69-a521-36cb89515d55,House of Commons
uk_2_22072008,https://www.parliamentlive.tv/Event/Index/d07a58b8-8cc8-4d61-8848-28f56a0bf99c,Westminster Hall
uk_3_21072008,https://www.parliamentlive.tv/Event/Index/b1019268-fc5a-4a32-9826-e96e23af7afc,House of Commons
uk_4_17072008,https://www.parliamentlive.tv/Event/Index/54bccfc5-f933-4c50-b5d4-4891efb16550,Westminster Hall
uk_5_17072008,https://www.parliamentlive.tv/Event/Index/12c10c14-976e-4c7e-92f6-56064f031eac,House of Commons
uk_6_16072008,https://www.parliamentlive.tv/Event/Index/e38d572f-dde6-4225-99d3-0c23b461e72c,Westminster Hall
uk_7_16072008,https://www.parliamentlive.tv/Event/Index/161af0bd-95d6-4159-94d4-dcd70bf5bfbc,House of Commons
uk_8_16072008,https://www.parliamentlive.tv/Event/Index/88db0f57-3f42-43fd-86bc-545affda0bc0,Westminster Hall
uk_9_15072008,https://www.parliamentlive.tv/Event/Index/30e95fa4-6f28-4dc9-b8bd-a54d55a965f4,House of Commons
uk_10_15072008,https://www.parliamentlive.tv/Event/Index/89f4af28-f57f-494b-a866-d1c644af1a07,Westminster Hall
uk_11_14072008,https://www.parliamentlive.tv/Event/Index/c03262ff-e158-49ec-81f3-41a1c397a33d,House of Commons
uk_12_10072008,https://www.parliamentlive.tv/Event/Index/68ab8dc1-5af0-4460-8506-79a7bd64ae49,Westminster Hall
uk_13_10072008,https://www.parliamentlive.tv/Event/Index/3b6689e1-d784-4e62-a9db-ef5e9aadbf8e,House of Commons
uk_14_09072008,https://www.parliamentlive.tv/Event/Index/9f481583-d4bb-4fd3-90c2-909343df5b4c,Westminster Hall
uk_15_09072008,https://www.parliamentlive.tv/Event/Index/32dc6c0b-db93-47f9-9a32-e5f37bd80ee7,House of Commons
uk_16_09072008,https://www.parliamentlive.tv/Event/Index/bfa94ce4-f494-40a9-aa1f-8d648b4d4def,Westminster Hall
uk_17_08072008,https://www.parliamentlive.tv/Event/Index/ebb5cde7-3bf8-4816-848e-397c9a3ce2d5,House of Commons
uk_18_08072008,https://www.parliamentlive.tv/Event/Index/b5be0597-5036-4fef-b45e-88d2538dc969,Westminster Hall
uk_19_07072008,https://www.parliamentlive.tv/Event/Index/b08987c7-f4d2-4361-8fdd-179b9e03508f,House of Commons
uk_20_03072008,https://www.parliamentlive.tv/Event/Index/74533904-e276-4a31-a9e4-8a27da37afd7,Westminster Hall
uk_21_03072008,https://www.parliamentlive.tv/Event/Index/1c7f3f76-1c5d-4ebc-a991-0f53431cbc9c,House of Commons
